Entry	Entry Name	Protein names	Gene Names	Taxonomic lineage	Organism	Organism (ID)	Gene Names (synonym)	Gene Names (primary)
A9CH39	PHRB_AGRFC	(6-4) photolyase (EC 4.1.99.13) ((6-4)DNA photolyase) (DNA photolyase PhrB) (Photoreactivating enzyme PhrB)	phrB Atu4765	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Agrobacterium (genus), Agrobacterium tumefaciens complex (no rank), Agrobacterium fabrum (species)	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	176299		phrB
A9CJC9	PHRA_AGRFC	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (Cyclobutane pyrimidine dimer photolyase) (CPD photolyase) (DNA photolyase PhrA) (Photoreactivating enzyme PhrA)	phrA Atu1218	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Agrobacterium (genus), Agrobacterium tumefaciens complex (no rank), Agrobacterium fabrum (species)	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	176299		phrA
B0LDU5	PKS4_RUBID	Polyketide synthase 4 (RiPKS4) (EC 2.3.1.212) (EC 2.3.1.74) (Benzalacetone synthase PKS4) (RiBAS) (Naringenin-chalcone synthase PKS4)	PKS4 BAS	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Rosales (order), Rosaceae (family), Rosoideae (subfamily), Rosoideae incertae sedis (no rank), Rubus (genus)	Rubus idaeus (Raspberry)	32247	BAS	PKS4
D0VWR8	PSBD_THEVL	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Thermostichales (order), Thermostichaceae (family), Thermostichus (genus)	Thermostichus vulcanus (Synechococcus vulcanus)	32053		psbD
O01668	OPS6_DROME	Opsin Rh6 (Rhodopsin Rh6, long-wavelength)	Rh6 CG5192	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)	Drosophila melanogaster (Fruit fly)	7227		Rh6
O18766	OPSD_PIG	Rhodopsin	RHO RHO1	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Artiodactyla (order), Suina (suborder), Suidae (family), Sus (genus)	Sus scrofa (Pig)	9823	RHO1	RHO
O18910	OPSG_RABIT	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (Medium wavelength-sensitive cone opsin)	OPN1MW GCP	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Lagomorpha (order), Leporidae (family), Oryctolagus (genus)	Oryctolagus cuniculus (Rabbit)	9986	GCP	OPN1MW
O35476	OPSG_RAT	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (Medium wavelength-sensitive cone opsin)	Opn1mw Gcp	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Rattus (genus)	Rattus norvegicus (Rat)	10116	Gcp	Opn1mw
O35599	OPSG_MOUSE	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (M opsin) (Medium wavelength-sensitive cone opsin)	Opn1mw Gcp	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Glires (clade), Rodentia (order), Myomorpha (suborder), Muroidea (clade), Muridae (family), Murinae (subfamily), Mus (genus), Mus (subgenus)	Mus musculus (Mouse)	10090	Gcp	Opn1mw
O48963	PHOT1_ARATH	Phototropin-1 (EC 2.7.11.1) (Non-phototropic hypocotyl protein 1) (Root phototropism protein 1)	PHOT1 JK224 NPH1 RPT1 At3g45780 T6D9_110	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Arabidopsis thaliana (Mouse-ear cress)	3702	JK224 NPH1 RPT1	PHOT1
